t,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm),|F|
14.4055,3.01196,-5.84044,171.05048,-3.24753,3.34238,0.58655,171.17666
14.4262,3.12799,-6.15142,171.28635,-3.25005,3.34822,0.5933,171.42531
14.4486,3.12117,-6.39975,171.15437,-3.25927,3.34757,0.59414,171.30242
14.4692,3.00307,-6.15741,171.28648,-3.25069,3.349,0.59577,171.42343
14.4914,2.9594,-6.19907,171.09586,-3.25434,3.35402,0.5954,171.2337
14.513,3.11926,-6.37814,170.86467,-3.25103,3.34884,0.59475,171.01212
14.5407,3.11115,-6.31715,171.12444,-3.25385,3.34722,0.59038,171.26926
14.5618,2.88533,-6.44108,171.07419,-3.26082,3.3467,0.59184,171.21971
14.5823,3.06865,-6.06637,171.12863,-3.25272,3.35393,0.5905,171.26362
14.6033,2.93122,-6.3,171.42159,-3.2491,3.35245,0.59361,171.56236
14.6246,3.03493,-6.20624,171.00177,-3.25383,3.34991,0.59407,171.14127
14.6454,3.15433,-6.49166,171.01875,-3.2576,3.34539,0.59789,171.17098
14.6672,3.07337,-6.03346,171.10432,-3.25073,3.34924,0.59207,171.23825
14.691,3.04237,-6.02884,171.01103,-3.25351,3.34866,0.59072,171.14431
14.716,3.01084,-5.86801,171.26389,-3.24938,3.35258,0.59184,171.39083
14.7372,2.93339,-5.9924,171.13965,-3.2548,3.35219,0.58897,171.26965
14.7588,3.19175,-6.47893,171.10905,-3.26773,3.34642,0.6007,171.26142
14.7794,3.04635,-6.00864,171.04472,-3.25473,3.34632,0.58933,171.17734
14.8012,2.94209,-6.30222,171.07443,-3.26075,3.35207,0.59577,171.21576
14.8248,2.96744,-6.13759,171.39388,-3.24913,3.35472,0.59054,171.5294
14.8472,2.95883,-5.77715,171.31824,-3.24476,3.35179,0.58042,171.44115
14.8684,2.9612,-6.16445,171.00716,-3.25738,3.34273,0.59424,171.14385
14.89,3.09197,-6.08372,170.91063,-3.24877,3.34896,0.59257,171.04682
14.9145,2.9567,-6.43578,170.95505,-3.25762,3.35086,0.60151,171.10169
14.936,3.02668,-6.29318,171.21471,-3.25174,3.35105,0.59076,171.35706
14.9571,2.9891,-6.24431,171.07846,-3.25867,3.34781,0.59471,171.21847
14.9779,2.89918,-6.35476,171.49712,-3.2578,3.35376,0.59227,171.6393
14.9986,3.01498,-6.12264,171.10196,-3.24938,3.35234,0.59051,171.23801
15.02,3.04124,-5.97399,171.10126,-3.25144,3.36255,0.59361,171.23253
15.0433,3.09213,-5.60866,171.16751,-3.27017,3.35613,0.58838,171.28729
15.0726,3.03178,-5.52444,171.33875,-3.28709,3.3378,0.59244,171.45459
15.0965,2.93222,-6.69798,171.15572,-3.21706,3.33588,0.58924,171.31182
15.1207,3.00805,-6.37096,171.0338,-3.25649,3.3532,0.59404,171.17885
15.1413,3.1139,-5.52095,171.21797,-3.26293,3.36254,0.58913,171.33526
15.162,2.60095,-5.99837,171.67763,-3.27309,3.34276,0.59114,171.80208
15.1828,2.84999,-6.38157,171.00484,-3.24575,3.34471,0.59094,171.1476
15.2034,3.21197,-6.21665,170.90433,-3.25934,3.36259,0.58915,171.04752
15.2246,2.9446,-6.18521,171.17319,-3.25948,3.34827,0.59116,171.31021
15.2451,2.83534,-6.62161,170.89285,-3.2407,3.3445,0.5899,171.04459
15.2672,3.24015,-6.21335,170.76277,-3.27662,3.35306,0.59781,170.90649
15.288,3.00096,-5.9414,171.31779,-3.27774,3.34597,0.59141,171.44706
15.3086,3.20817,-6.48733,171.13136,-3.23973,3.3422,0.59424,171.28433
15.3304,3.10481,-6.51956,171.08147,-3.23227,3.35702,0.58926,171.2338
15.3521,3.19866,-5.99347,171.22697,-3.25073,3.35685,0.59164,171.36169
15.3754,2.96532,-6.04096,171.27924,-3.27019,3.35233,0.59185,171.41139
15.3964,2.90474,-6.2928,171.0713,-3.24287,3.35077,0.59611,171.21165
15.4175,2.99172,-6.28088,171.04744,-3.24908,3.34738,0.59523,171.18886
15.4383,3.16613,-6.12017,171.23941,-3.23705,3.35634,0.59585,171.37799
15.4589,2.96097,-6.04966,171.14857,-3.24191,3.35228,0.58746,171.28106
15.4798,3.07607,-6.0781,171.04459,-3.25875,3.35312,0.59163,171.18019
15.5014,2.8286,-5.74099,171.40724,-3.26042,3.35925,0.5902,171.52668
15.5242,2.97007,-6.27116,170.97614,-3.24761,3.34866,0.59809,171.11688
15.5459,2.75454,-6.50997,170.9525,-3.24484,3.35406,0.58834,171.09858
15.5681,2.8493,-6.7219,171.3062,-3.26754,3.3481,0.59768,171.4617
15.589,3.01134,-6.0721,171.05612,-3.27007,3.35812,0.58765,171.19035
15.6098,2.91538,-6.35576,171.23024,-3.25956,3.35822,0.59936,171.37296
15.6312,2.91689,-6.37942,171.41129,-3.25844,3.34474,0.59768,171.55475
15.6544,3.20315,-6.0532,171.1317,-3.25537,3.34024,0.59387,171.26868
15.6824,3.03836,-6.54285,171.21751,-3.24539,3.35561,0.59356,171.36942
15.7037,2.87503,-6.23984,171.26544,-3.26753,3.35499,0.59349,171.40319
15.7253,3.09679,-5.94051,171.13631,-3.27154,3.34425,0.59545,171.26738
15.7459,2.93478,-6.30598,171.01721,-3.24958,3.35436,0.59443,171.1586
15.7666,2.96431,-6.66865,171.10185,-3.24253,3.34985,0.59272,171.25741
15.788,3.08254,-6.2851,171.23476,-3.25459,3.35008,0.58984,171.37779
15.809,2.96331,-6.18422,171.01654,-3.266,3.34973,0.59383,171.15397
15.8336,3.14341,-5.83992,171.50468,-3.27051,3.37186,0.58965,171.63287
15.8544,3.14276,-5.86826,171.29939,-3.27516,3.38004,0.58809,171.42869
15.8752,3.00093,-5.87528,171.40483,-3.27619,3.38362,0.58356,171.53175
15.8963,2.95933,-6.08124,171.43472,-3.27825,3.37527,0.58747,171.56807
15.917,3.24845,-5.94995,171.32732,-3.29142,3.38553,0.59034,171.46138
15.9393,3.25804,-5.66653,171.11899,-3.3054,3.39778,0.59122,171.24378
15.961,3.08121,-5.86276,171.33177,-3.29157,3.3906,0.58989,171.45974
15.9862,3.15738,-5.86404,171.15985,-3.27878,3.37873,0.58446,171.28938
16.0068,2.98723,-6.06455,171.22784,-3.29182,3.37317,0.58241,171.36125
16.0273,3.138,-5.87006,171.50229,-3.2898,3.38067,0.58468,171.63141
16.0483,3.0664,-6.25563,171.11678,-3.29081,3.38014,0.59173,171.25854
16.0694,3.02489,-5.75775,171.25938,-3.29613,3.36184,0.57804,171.38284
16.0902,2.91882,-5.91891,171.22458,-3.2921,3.36832,0.58192,171.35171
16.1117,2.98758,-5.95885,171.32272,-3.28151,3.37287,0.57545,171.45235
16.1325,2.94782,-6.0175,171.23114,-3.28503,3.37321,0.57913,171.3622
16.1561,3.03026,-5.59419,171.74811,-3.2979,3.36874,0.57605,171.86591
16.1772,2.83442,-5.97785,171.51498,-3.2917,3.3566,0.57627,171.64253
16.1989,2.84937,-5.87642,171.32495,-3.27574,3.36004,0.57695,171.44938
16.2195,3.01976,-5.86127,171.15482,-3.27481,3.37148,0.57729,171.28177
16.2404,3.19664,-5.78003,171.11288,-3.27606,3.36859,0.58023,171.24032
16.2609,3.13609,-6.17917,171.23413,-3.27736,3.36367,0.58856,171.37428
16.2815,3.01187,-5.91981,171.29811,-3.27409,3.35957,0.58241,171.42683
16.3026,2.91698,-5.92429,171.60835,-3.28377,3.34326,0.57629,171.73536
16.3233,2.7877,-6.38512,171.45792,-3.27879,3.35542,0.58052,171.59941
16.3445,3.10206,-6.12196,171.22563,-3.27041,3.34992,0.58289,171.36312
16.3665,2.908,-5.89479,171.51845,-3.26963,3.35138,0.57878,171.64435
16.3927,2.98753,-5.9826,171.48886,-3.27902,3.35427,0.58405,171.61919
16.4135,2.9888,-6.16675,171.35155,-3.27579,3.35261,0.58081,171.48853
16.4348,2.89118,-6.10356,171.06137,-3.27562,3.35,0.58317,171.19464
16.4555,3.02703,-6.14634,171.24068,-3.27394,3.35021,0.58593,171.37768
16.4763,3.02862,-6.06407,170.91299,-3.26193,3.34416,0.5884,171.04735
16.4989,2.86172,-5.96375,171.33441,-3.27381,3.35623,0.57901,171.46206
16.5209,3.05863,-5.97412,171.1886,-3.26397,3.35675,0.58552,171.32011
16.5446,2.82773,-6.31229,171.32826,-3.25728,3.35228,0.5886,171.46782
16.5663,3.10366,-5.87906,171.18825,-3.25053,3.35179,0.59092,171.31729
16.5876,3.10554,-6.22323,171.27348,-3.25546,3.35245,0.59615,171.41464
16.6084,3.07599,-6.22297,171.31781,-3.26255,3.34934,0.59399,171.45839
16.6303,3.21615,-6.09664,171.05692,-3.25339,3.35265,0.58976,171.19574
16.6516,3.17628,-5.99187,171.20195,-3.24703,3.35157,0.58973,171.33622
16.6741,2.95164,-6.17957,171.23294,-3.25381,3.3556,0.59324,171.36983
16.6987,2.95835,-6.35008,171.06786,-3.25415,3.34498,0.59739,171.21123
16.7194,2.89728,-6.20482,171.12593,-3.25094,3.35664,0.59277,171.26289
16.7401,3.11289,-6.14286,171.20618,-3.25813,3.34917,0.59256,171.34462
16.7607,3.12648,-6.48077,171.04613,-3.25748,3.34095,0.59443,171.19741
16.7813,3.13559,-6.17821,171.18404,-3.24572,3.35402,0.59079,171.32419
16.8038,3.26662,-6.16676,171.15889,-3.25863,3.34518,0.59449,171.3011
16.8291,3.10962,-6.3751,171.29288,-3.2616,3.36993,0.59964,171.43967
16.8513,3.09688,-6.35359,171.04373,-3.25774,3.37909,0.60111,171.18971
16.872,3.1744,-6.46943,171.15396,-3.24956,3.38854,0.60144,171.3056
16.8926,3.1717,-6.16917,171.0876,-3.25327,3.38847,0.59805,171.22817
16.9154,3.03895,-5.92299,171.19287,-3.24585,3.37867,0.59468,171.32226
16.9376,3.03795,-6.19728,171.63071,-3.26469,3.35381,0.59011,171.76942
16.9612,2.94702,-6.11159,171.24156,-3.26185,3.34842,0.5897,171.37593
16.9819,3.15297,-5.99087,171.26259,-3.24843,3.35214,0.58911,171.39634
17.0026,3.01989,-6.26015,171.31905,-3.24661,3.34592,0.5944,171.45998
17.024,3.02927,-5.95513,171.3335,-3.25317,3.35126,0.591,171.46372
17.0448,3.01691,-6.31222,170.88264,-3.25716,3.34011,0.59473,171.0258
17.0671,2.99699,-6.14828,171.23332,-3.24474,3.3536,0.59351,171.36987
17.088,2.98438,-6.1212,171.2415,-3.25091,3.3493,0.59245,171.37686
17.1089,3.14693,-6.27971,170.82399,-3.24936,3.34564,0.59672,170.96834
17.1341,3.26439,-6.10942,170.99377,-3.25444,3.35105,0.58952,171.13402
17.1565,3.07089,-6.01726,171.09372,-3.25601,3.34728,0.59513,171.22704
17.1783,2.99291,-6.15956,171.08769,-3.25099,3.36089,0.59212,171.22469
17.2052,3.37791,-6.12652,170.90813,-3.25529,3.38647,0.59404,171.05126
17.2259,3.03395,-6.13703,170.99591,-3.24771,3.34688,0.59186,171.1329
17.2471,2.85429,-6.29308,171.41493,-3.25855,3.35777,0.59349,171.55416
17.2684,3.07539,-6.36448,171.2861,-3.26315,3.36818,0.59797,171.43189
17.2892,2.89468,-5.9353,171.42462,-3.25184,3.36467,0.58603,171.55176
17.3119,2.86809,-6.31378,171.39786,-3.2536,3.36085,0.59647,171.53809
17.336,2.9673,-6.11039,171.31071,-3.25345,3.36615,0.59151,171.44533
17.3584,3.17555,-6.35502,171.17979,-3.2583,3.34796,0.59409,171.32715
17.3788,3.07644,-5.94937,171.20889,-3.24872,3.35014,0.5932,171.33985
17.4003,2.76543,-6.18178,171.28564,-3.2527,3.35111,0.59594,171.41947
17.4216,3.0737,-5.98967,171.01492,-3.25485,3.34637,0.58652,171.14739
17.4423,3.03701,-6.11006,171.14301,-3.25688,3.34488,0.58839,171.27897
17.4629,2.95616,-6.23861,171.34497,-3.25385,3.33985,0.59276,171.48399
17.4842,3.04713,-6.39808,171.08662,-3.26609,3.34713,0.59239,171.23333
17.5052,2.91784,-6.10115,171.08125,-3.24828,3.35139,0.58749,171.21487
17.5259,2.98246,-6.24525,171.12627,-3.25712,3.33977,0.59287,171.26616
17.5465,2.8602,-6.20436,171.31715,-3.25404,3.35702,0.58664,171.45332
17.5718,3.08826,-6.05095,171.22227,-3.24904,3.34677,0.58743,171.35699
17.5925,3.06757,-6.10997,171.09251,-3.25385,3.34444,0.58932,171.22906
17.614,3.13559,-6.15159,170.96317,-3.25393,3.35354,0.59065,171.10254
17.6353,3.05826,-6.35711,171.25835,-3.25958,3.33788,0.59283,171.40358
17.6568,3.02355,-6.07097,170.96387,-3.25184,3.35065,0.59057,171.09834
17.6776,2.98465,-5.93941,171.29364,-3.25397,3.34978,0.59018,171.42257
17.6983,2.94814,-6.14934,170.86287,-3.25459,3.34527,0.59197,170.99891
17.7191,3.07652,-6.18081,171.34311,-3.25003,3.35166,0.59336,171.48215
17.7444,3.09133,-6.28846,171.05719,-3.26242,3.35323,0.5981,171.20065
17.7667,2.92184,-6.10561,171.44774,-3.25121,3.35153,0.59561,171.5813
17.7884,2.88723,-6.57749,171.10007,-3.25914,3.34372,0.59851,171.25079
17.8092,3.086,-6.30601,171.11389,-3.25445,3.34545,0.59484,171.25786
17.8299,2.97643,-6.30116,171.17061,-3.26158,3.35772,0.59212,171.31241
17.8506,3.05126,-5.99463,171.16594,-3.25492,3.35653,0.59144,171.29806
17.8713,3.1117,-5.98351,171.05188,-3.26888,3.36148,0.58918,171.18479
17.8967,3.21175,-5.90263,171.17149,-3.26018,3.37477,0.59738,171.30335
17.9178,3.1652,-6.05757,171.08342,-3.25837,3.37167,0.59077,171.21989
17.9384,3.15956,-5.98442,171.00468,-3.26148,3.36058,0.58994,171.13854
17.9597,2.9431,-6.04081,171.2099,-3.26143,3.36606,0.59024,171.34171
17.9809,3.24321,-5.96551,171.0267,-3.26008,3.38042,0.59243,171.16144
18.0015,3.09306,-5.73156,170.91562,-3.25508,3.37478,0.58802,171.03966
18.0238,3.06367,-6.18838,171.07506,-3.2657,3.36192,0.59213,171.21436
18.0493,3.25223,-5.90707,171.16125,-3.25606,3.3703,0.58451,171.29403
18.0699,3.13484,-5.74491,170.98883,-3.25598,3.38068,0.59227,171.11403
18.0904,3.09398,-5.86458,171.31537,-3.26838,3.38431,0.58965,171.44364
18.1116,3.08095,-5.94756,171.18845,-3.27619,3.39402,0.5888,171.31944
18.1326,3.38807,-6.14603,170.96587,-3.26858,3.39953,0.60035,171.10985
18.1531,3.26276,-6.26491,170.95895,-3.26766,3.40083,0.59995,171.10482
18.1748,3.1424,-5.86071,171.42586,-3.2608,3.40983,0.59138,171.55479
18.1961,3.20282,-6.25411,171.00641,-3.26944,3.40952,0.59766,171.1507
18.222,3.27024,-5.96853,171.2673,-3.27102,3.41161,0.5976,171.40247
18.2434,3.30004,-5.79806,171.27794,-3.26357,3.40838,0.59634,171.40782
18.2646,3.31856,-5.76963,171.12341,-3.26943,3.41151,0.59217,171.25281
18.2858,3.16905,-5.63445,171.10701,-3.26544,3.40223,0.5865,171.22908
18.3065,3.21912,-5.75388,171.56253,-3.2656,3.41026,0.58998,171.68917
18.3284,3.29611,-5.633,171.26486,-3.27175,3.40583,0.58717,171.38917
18.3518,3.27353,-5.88725,171.18593,-3.27858,3.39952,0.59159,171.31841
18.3751,3.15007,-5.79928,170.93887,-3.26915,3.39551,0.58745,171.06622
18.3965,3.41042,-5.78877,170.87894,-3.27103,3.38631,0.59089,171.01097
18.4175,3.25112,-5.60293,171.42854,-3.26108,3.39243,0.58967,171.55089
18.4387,3.08094,-5.94767,171.10973,-3.27195,3.38814,0.58666,171.24078
18.4595,3.21341,-5.90968,171.07288,-3.27637,3.38846,0.58888,171.20508
18.4805,3.21657,-5.8884,171.0372,-3.27964,3.3769,0.58658,171.16876
18.5076,3.00009,-5.96291,171.21513,-3.27488,3.37858,0.58414,171.3452
18.5291,3.13112,-5.72472,171.0845,-3.27072,3.38254,0.58514,171.20889
18.5503,3.34213,-5.55034,171.14919,-3.26911,3.36201,0.58238,171.27177
18.571,3.11552,-5.80411,171.11519,-3.27813,3.35931,0.58514,171.24194
18.5931,2.78092,-6.10605,171.22588,-3.27274,3.35495,0.57699,171.35728
18.6163,2.90902,-5.94462,171.21794,-3.27238,3.34914,0.57877,171.3458
18.6389,2.97854,-5.9139,171.07016,-3.28063,3.36343,0.57528,171.19826
18.6606,2.99219,-6.14674,171.4014,-3.2826,3.36751,0.57882,171.53768
18.6813,2.87804,-6.06075,171.20189,-3.28784,3.37654,0.57919,171.33331
18.7018,3.18563,-6.00842,171.1584,-3.28696,3.36832,0.57862,171.29345
18.723,3.16516,-5.58465,171.44228,-3.27065,3.38669,0.57693,171.56241
18.7443,3.16497,-5.64657,171.16367,-3.27328,3.37389,0.58161,171.28602
18.7651,3.03319,-5.63425,171.36826,-3.28151,3.37975,0.58016,171.48768
18.7872,3.13276,-5.53593,171.37469,-3.27448,3.40776,0.58084,171.4927
18.8133,3.28717,-5.75088,171.2617,-3.27265,3.42575,0.5932,171.38976
18.8343,3.36231,-6.35875,171.08005,-3.28001,3.42162,0.59741,171.23119
18.8549,3.4282,-5.67197,170.91827,-3.26369,3.42129,0.58672,171.04672
18.8759,3.30462,-5.71538,171.22852,-3.26793,3.42975,0.58861,171.35574
18.897,3.37572,-5.46604,171.12444,-3.27126,3.41729,0.58454,171.24499
18.9189,3.09961,-5.74874,171.35698,-3.2792,3.40056,0.58193,171.4814
18.9404,3.25613,-5.82664,171.04713,-3.26996,3.39736,0.58733,171.17732
18.9657,3.15055,-5.76129,171.22525,-3.28352,3.38676,0.57887,171.35112
18.9871,3.11864,-5.97901,170.92552,-3.28737,3.38144,0.58526,171.05849
19.0079,3.21142,-5.74553,170.92836,-3.28202,3.37037,0.58064,171.05505
19.0288,3.06034,-6.08014,171.04417,-3.28059,3.35651,0.58584,171.17956
19.0501,2.86554,-5.7567,171.18471,-3.28061,3.3608,0.57698,171.30544
19.072,3.17118,-5.73174,170.90602,-3.2711,3.35684,0.57785,171.03151
19.0933,3.22394,-6.02936,171.26027,-3.277,3.36443,0.58504,171.39669
19.1155,3.04579,-5.81931,171.13332,-3.28023,3.36964,0.58039,171.25932
19.1399,3.32049,-5.8927,171.22748,-3.28024,3.38176,0.58982,171.36102
19.1607,3.29142,-6.08767,170.67924,-3.26976,3.39207,0.59165,170.81949
19.182,3.19659,-6.31457,171.01805,-3.27201,3.38285,0.59202,171.16444
19.2038,3.26226,-5.93015,171.09552,-3.27709,3.37711,0.58992,171.22934
19.2248,3.17341,-5.98152,171.28143,-3.28055,3.37152,0.58171,171.41522
19.246,3.10121,-5.99066,170.93755,-3.27118,3.38295,0.58604,171.0706
19.2684,3.17436,-5.8936,171.20285,-3.26959,3.39508,0.58494,171.33367
19.2925,3.19916,-5.81855,171.27016,-3.25943,3.39975,0.58438,171.39882
19.3133,3.14634,-5.78347,170.93599,-3.26652,3.39836,0.58309,171.06274
19.3363,3.17873,-6.1737,171.18547,-3.27591,3.39774,0.59083,171.32625
19.3585,3.27391,-6.05784,170.99911,-3.27568,3.40011,0.59462,171.1377
19.3802,3.39026,-5.95011,170.84656,-3.2616,3.41322,0.58832,170.98375
19.4037,3.19755,-6.07207,170.85008,-3.26348,3.41847,0.5915,170.98785
19.4246,3.40844,-5.82581,170.71861,-3.25847,3.42125,0.58931,170.85199
19.4468,3.26446,-5.7746,170.94704,-3.26378,3.41991,0.58962,171.07569
19.4727,3.41058,-5.73999,171.03662,-3.26829,3.42974,0.59308,171.16689
19.4969,3.45768,-5.95808,170.85394,-3.27132,3.42125,0.59378,170.99276
19.5193,3.50975,-5.66097,171.0313,-3.2681,3.41272,0.58882,171.16094
19.5407,3.29074,-5.81693,171.08511,-3.26304,3.44197,0.58689,171.2156
19.5637,3.46633,-5.67481,170.89455,-3.25704,3.44472,0.58788,171.02387
19.5884,3.45814,-5.87443,170.7476,-3.24568,3.44182,0.5975,170.88362
19.6093,3.49574,-6.08601,171.03943,-3.25012,3.4452,0.60288,171.18337
19.6306,3.63382,-5.85806,170.92067,-3.24634,3.4377,0.59682,171.05963
19.6518,3.45807,-5.92153,171.23184,-3.25128,3.41336,0.59762,171.36909
19.6723,3.2375,-5.97549,171.02658,-3.26544,3.41015,0.5937,171.16156
19.6947,3.22477,-6.04342,171.03572,-3.26315,3.41139,0.58967,171.17284
19.7154,3.17466,-5.79393,170.98285,-3.25399,3.41627,0.58848,171.11044
19.7361,3.13807,-5.71999,171.19588,-3.25178,3.42823,0.58995,171.32015
19.7568,3.38604,-5.99155,171.01955,-3.25779,3.42443,0.5948,171.15797
19.7777,3.16068,-5.87519,171.18658,-3.26203,3.42681,0.58871,171.31653
19.7994,3.00283,-6.10493,171.28445,-3.25275,3.43339,0.59483,171.41952
19.8214,3.29245,-5.92366,171.03677,-3.26199,3.41561,0.59074,171.17099
19.843,3.30277,-6.05457,171.25772,-3.26077,3.41319,0.59367,171.39654
19.8659,3.22339,-5.88413,171.39291,-3.25826,3.41216,0.58878,171.52418
19.8869,3.31543,-5.86561,171.37154,-3.27096,3.41765,0.59069,171.50394
19.9086,3.33585,-5.87692,171.44934,-3.2622,3.41741,0.59216,171.58247
19.9324,3.14511,-5.68003,171.40904,-3.26147,3.42132,0.59063,171.53196
19.9566,3.21449,-5.66601,171.47997,-3.26763,3.42302,0.58661,171.60366
19.9778,3.11506,-5.78964,171.55008,-3.25917,3.43835,0.59198,171.67601
19.9986,3.17511,-6.03313,171.55269,-3.26132,3.44414,0.59293,171.6881
20.0208,3.17414,-5.59733,171.48184,-3.26134,3.44335,0.59064,171.60253
20.0415,3.29609,-5.97494,171.34889,-3.26473,3.45209,0.59652,171.48471
20.0623,3.46633,-5.86428,171.10262,-3.25596,3.44853,0.59492,171.23817
20.0853,3.23864,-5.67491,171.48949,-3.25069,3.45881,0.59246,171.61392
20.11,3.48337,-5.75637,171.13904,-3.2563,3.44584,0.59547,171.27125
20.1312,3.70842,-5.84534,170.87712,-3.25609,3.44438,0.6033,171.01728
20.1519,3.58904,-5.90138,171.08934,-3.2556,3.4517,0.60349,171.22871
20.1736,3.56125,-5.80392,170.96715,-3.25358,3.44891,0.6023,171.1027
20.1942,3.53219,-5.83687,170.9516,-3.25142,3.43676,0.60163,171.08768
20.2197,3.38606,-6.09476,170.89114,-3.2682,3.42074,0.60118,171.03331
20.2403,3.33876,-5.99622,170.9469,-3.25928,3.42089,0.59287,171.08461
20.2613,3.30992,-5.78028,171.12529,-3.24947,3.41876,0.594,171.25487
20.282,3.09323,-6.08013,171.24478,-3.25291,3.41996,0.58937,171.3806
20.3033,3.51305,-6.00045,170.73524,-3.24824,3.42345,0.60073,170.87677
20.3239,3.19814,-5.82115,171.468,-3.2513,3.41725,0.59225,171.59659
20.3445,3.3007,-5.98621,171.02136,-3.24929,3.41006,0.59731,171.15793
20.3663,3.20023,-5.51073,171.24928,-3.24713,3.40476,0.5848,171.36781
20.3871,3.12432,-6.39256,171.06398,-3.26652,3.37373,0.59369,171.21189
20.4129,3.09953,-6.3007,171.04727,-3.25477,3.37591,0.5967,171.19134
20.4337,3.20825,-6.01205,171.12502,-3.25476,3.37909,0.58666,171.26064
20.4547,3.22155,-5.74748,171.18733,-3.26214,3.36904,0.58526,171.31408
20.4753,2.95143,-6.24718,171.30667,-3.27335,3.3733,0.59131,171.44595
20.4967,3.03269,-5.78564,171.38574,-3.27042,3.36776,0.58265,171.51018
20.5179,3.04978,-6.07191,171.20229,-3.27589,3.36193,0.58068,171.33707
20.539,2.95768,-5.79181,171.43961,-3.28514,3.36911,0.58113,171.56291
20.5599,3.15916,-5.8813,171.43338,-3.26963,3.38492,0.58469,171.56332
20.5804,3.19283,-5.97888,171.3213,-3.25845,3.41055,0.58589,171.45533
20.601,3.25208,-6.04982,171.29549,-3.26087,3.41442,0.59283,171.43314
20.6261,3.32063,-5.73048,171.48094,-3.26832,3.42255,0.59052,171.60879
20.6468,3.00931,-6.03704,171.27422,-3.26794,3.44268,0.59988,171.407
20.6675,3.47873,-6.04601,171.04811,-3.25362,3.44865,0.60478,171.19028
20.6882,3.51325,-6.06939,171.04948,-3.24053,3.44977,0.60672,171.19318
20.7113,3.41909,-5.87027,171.07135,-3.24713,3.44167,0.59615,171.20618
20.7335,3.24966,-6.08588,171.01326,-3.25189,3.4222,0.59662,171.15237
20.7546,3.31314,-5.84228,171.19673,-3.25176,3.41945,0.59068,171.32843
20.7752,3.1821,-5.96637,171.07347,-3.26636,3.40334,0.58643,171.20706
20.8006,3.13164,-5.53574,171.21114,-3.26798,3.38752,0.57989,171.32923
20.8224,3.09682,-5.99148,171.46671,-3.27483,3.38938,0.5879,171.5993
20.8435,3.11033,-6.05736,171.17308,-3.26969,3.38806,0.58742,171.30846
20.8651,3.07093,-5.79571,171.37567,-3.27286,3.38868,0.58916,171.50114
20.8857,3.09835,-5.79679,171.3862,-3.26297,3.3893,0.58756,171.51219
20.9063,3.18035,-5.69779,171.2986,-3.26625,3.38823,0.58597,171.42284
20.9269,3.22746,-5.76976,171.1857,-3.2637,3.39533,0.58841,171.31331
20.9474,3.27556,-5.81,171.35515,-3.24768,3.4015,0.59307,171.4849
20.97,3.24337,-5.88315,171.10921,-3.25753,3.40478,0.58917,171.24103
20.9909,3.34778,-5.79972,171.09576,-3.25352,3.41444,0.59539,171.22676
21.0131,3.26504,-5.92144,171.06995,-3.26004,3.40819,0.59541,171.20354
21.0341,3.21384,-6.08848,171.23863,-3.26469,3.40675,0.59716,171.37697
21.0549,3.24665,-6.10286,171.31177,-3.26782,3.40354,0.59532,171.45118
21.0769,3.305,-6.01104,170.95068,-3.26037,3.39911,0.59777,171.08826
21.0979,3.24772,-5.87909,171.23918,-3.25189,3.39209,0.59074,171.37085
21.1193,3.15461,-6.38787,171.14925,-3.26098,3.39428,0.59683,171.29746
21.14,3.37199,-5.92107,171.1012,-3.26029,3.40239,0.59392,171.23682
21.1607,3.30552,-5.93642,170.93665,-3.24942,3.41938,0.59452,171.07164
21.1821,3.36241,-5.75859,171.03174,-3.23757,3.43554,0.59605,171.16169
21.2084,3.51902,-5.89286,171.00888,-3.23846,3.44431,0.60145,171.14656
21.229,3.5167,-5.87516,171.09572,-3.24536,3.43836,0.604,171.23268
21.2497,3.46175,-5.7877,170.98099,-3.24054,3.43137,0.60179,171.11394
21.2708,3.37965,-6.1058,171.11409,-3.2457,3.42486,0.60275,171.25634
21.2919,3.48538,-5.85796,171.12198,-3.2301,3.4153,0.59961,171.25769
21.3125,3.23812,-5.93712,171.12112,-3.23525,3.39463,0.59264,171.2547
21.3338,3.04945,-6.18944,171.04349,-3.25952,3.36906,0.58941,171.1826
21.3545,3.00936,-6.34881,171.30473,-3.25922,3.35679,0.59383,171.44875
21.3803,2.8253,-6.36295,171.53775,-3.25559,3.34609,0.58584,171.67897
21.4017,2.94481,-6.18615,171.47874,-3.25128,3.34195,0.58797,171.61556
21.4222,3.04138,-6.17348,171.21494,-3.26065,3.33573,0.58405,171.35319
21.4434,2.87259,-6.01518,171.59436,-3.2621,3.34435,0.57763,171.72379
21.4641,3.06744,-5.69602,171.18936,-3.26079,3.3385,0.57851,171.31156
21.4854,2.88804,-5.7471,171.52373,-3.26791,3.35245,0.58407,171.64428
21.5059,2.83742,-5.9692,171.41025,-3.27221,3.35655,0.58556,171.53762
21.5278,3.14985,-6.03617,171.17805,-3.25693,3.3819,0.59037,171.31341
21.5484,3.20287,-5.99077,171.34212,-3.25877,3.41295,0.59051,171.47673
21.5691,3.05383,-5.93186,171.22394,-3.25908,3.41889,0.58915,171.35387
21.5943,3.26142,-5.77561,171.19527,-3.24954,3.41459,0.59234,171.32371
21.6148,3.22887,-6.04303,171.24393,-3.26432,3.41125,0.59654,171.38094
21.6358,3.17953,-5.86676,171.52986,-3.25742,3.41376,0.59322,171.65961
