t,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm),|F|
1.5035,2.94008,-6.23745,171.16992,-3.25333,3.37047,0.59805,171.30876
1.5297,3.02109,-6.26828,171.43803,-3.25588,3.36595,0.59787,171.57919
1.5504,3.0617,-6.21432,171.09555,-3.25721,3.35074,0.59224,171.23574
1.5709,2.95027,-6.41401,171.07898,-3.24992,3.34834,0.58932,171.22459
1.5919,3.01189,-6.00741,171.04323,-3.24742,3.34491,0.58782,171.17519
1.6127,2.88251,-6.11758,171.23361,-3.26264,3.34687,0.58575,171.3671
1.635,3.26067,-6.18645,171.11548,-3.2552,3.34046,0.59398,171.25832
1.661,2.95846,-5.97717,171.20039,-3.25511,3.34934,0.59155,171.33025
1.6822,2.90019,-6.22243,171.13779,-3.25517,3.34629,0.59217,171.27543
1.7032,3.07974,-6.22925,171.25293,-3.25509,3.34625,0.59136,171.39386
1.7239,3.13853,-6.13489,170.82364,-3.24526,3.34378,0.59628,170.96258
1.7463,2.93539,-6.2318,171.17044,-3.25636,3.34875,0.59109,171.30899
1.7672,3.03391,-6.14863,171.29092,-3.24145,3.34716,0.58931,171.42809
1.793,3.05907,-6.2808,171.09985,-3.25227,3.34787,0.59331,171.24242
1.8169,3.02159,-5.65474,171.41963,-3.2503,3.34638,0.58794,171.53949
1.8375,2.99168,-5.77407,171.28365,-3.25056,3.35146,0.58857,171.40705
1.8583,3.0005,-6.10034,171.51796,-3.24411,3.35535,0.59314,171.65264
1.8797,3.04708,-5.99533,171.19089,-3.24877,3.34556,0.58775,171.32294
1.9027,2.91281,-6.12108,171.15367,-3.25552,3.35166,0.58769,171.28786
1.9262,2.91906,-6.1594,171.10991,-3.25462,3.34569,0.58703,171.24561
1.9469,3.0976,-6.62518,170.97583,-3.25438,3.3433,0.59974,171.13218
1.9679,3.05856,-6.27566,170.9165,-3.25589,3.3473,0.59235,171.05902
1.9913,2.91426,-6.25835,171.22707,-3.26278,3.34707,0.59519,171.36618
2.0173,2.89516,-6.12708,171.61868,-3.25886,3.34864,0.59139,171.75242
2.0382,3.09382,-6.01665,171.25507,-3.25566,3.3455,0.58803,171.38865
2.059,2.81067,-6.1452,171.19823,-3.25479,3.35288,0.58634,171.33154
2.08,3.15253,-6.22839,171.11749,-3.24575,3.34258,0.59528,171.25982
2.102,2.84204,-6.24392,171.10471,-3.26087,3.3514,0.59193,171.24218
2.1232,2.96512,-6.06103,170.99139,-3.25756,3.3398,0.58978,171.12447
2.1442,3.05598,-6.04433,171.05367,-3.2532,3.34596,0.59127,171.1877
2.1648,3.1022,-6.58951,171.09644,-3.26099,3.34702,0.59802,171.25138
2.1901,2.96682,-6.27411,171.00998,-3.24859,3.34358,0.59208,171.15075
2.2107,3.21668,-6.26364,170.91957,-3.25298,3.34598,0.58849,171.06455
2.2319,2.95343,-6.27658,171.21825,-3.25611,3.35134,0.59397,171.35871
2.2529,2.95081,-6.25961,170.96005,-3.25515,3.34162,0.59358,171.10006
2.2736,3.24386,-6.21073,171.04045,-3.24437,3.37654,0.59486,171.18391
2.2944,3.26849,-6.14175,171.25322,-3.23794,3.3759,0.59579,171.39448
2.3164,3.20856,-6.48272,171.05157,-3.2556,3.37189,0.59737,171.20444
2.3429,3.25595,-6.18706,170.983,-3.2619,3.40377,0.59181,171.12588
2.3636,3.31678,-5.85992,171.0564,-3.25883,3.40906,0.5835,171.18887
2.3843,3.07759,-5.94416,171.3176,-3.26188,3.41266,0.58445,171.44831
2.4051,3.29443,-5.92833,170.96045,-3.27394,3.4145,0.5882,171.09493
